ticker,name,sector,weight_pct,method
NPK,NATIONAL PRESTO INDUSTRIES INC,Industrials,0.02595,fcff
FCBC,FIRST COMMUNITY BANKSHARES INC,Financials,0.0258,book
INDI,INDIE SEMICONDUCTOR INC CLASS A,Information Technology,0.02579,fcff
SVRA,SAVARA,Health Care,0.02579,fcff
OLMA,OLEMA PHARMACEUTICALS,Health Care,0.02574,fcff
BBNX,BETA BIONICS,Health Care,0.02566,fcff
ALRS,ALERUS FINANCIAL CORP,Financials,0.02562,book
TRNS,TRANSCAT,Industrials,0.02552,fcff
ABUS,ARBUTUS BIOPHARMA CORP,Health Care,0.02552,fcff
NVGS,NAVIGATOR HOLDINGS,Energy,0.02549,fcff
BV,BRIGHTVIEW HOLDINGS,Industrials,0.02548,fcff
PAR,PAR TECHNOLOGY,Information Technology,0.02547,fcff
CYRX,CRYOPORT,Health Care,0.02543,fcff
BKSY,BLACKSKY TECHNOLOGY CLASS A,Industrials,0.02541,fcff
PAHC,PHIBRO ANIMAL HEALTH CORP CLASS A,Health Care,0.02532,fcff
EGBN,EAGLE BANCORP,Financials,0.02527,book
KOPN,KOPIN CORP,Information Technology,0.02525,fcff
CODI,COMPASS DIVERSIFIED,Financials,0.02524,book
PZZA,PAPA JOHNS INTERNATIONAL INC,Consumer Discretionary,0.02518,fcff
CMP,COMPASS MINERALS INTERNATIONAL,Materials,0.02515,fcff
SMBK,SMARTFINANCIAL INC,Financials,0.02512,book
SHBI,SHORE BANCSHARES INC,Financials,0.0251,book
MPB,MID PENN BANCORP INC,Financials,0.02501,book
NNE,NANO NUCLEAR ENERGY,Industrials,0.02495,fcff
JANX,JANUX THERAPEUTICS,Health Care,0.0249,fcff
AIP,ARTERIS INC,Information Technology,0.02489,fcff
WASH,WASHINGTON TRUST BANCORP INC,Financials,0.02486,book
BKV,BKV,Energy,0.02483,fcff
VREX,VAREX IMAGING,Health Care,0.02482,fcff
ANNX,ANNEXON,Health Care,0.02473,fcff
FIZZ,NATIONAL BEVERAGE,Consumer Staples,0.02472,fcff
CASS,CASS INFORMATION SYSTEMS INC,Financials,0.02471,book
FSBC,FIVE STAR BANCORP,Financials,0.02468,book
LINC,LINCOLN EDUCATIONAL SERVICES CORP,Consumer Discretionary,0.02458,fcff
SLDB,SOLID BIOSCIENCES INC,Health Care,0.02457,fcff
ABR,ARBOR REALTY TRUST REIT,Financials,0.02457,book
FWRG,FIRST WATCH RESTAURANT GROUP,Consumer Discretionary,0.0245,fcff
DAKT,DAKTRONICS INC,Information Technology,0.02444,fcff
VPG,VISHAY PRECISION GROUP,Information Technology,0.02438,fcff
TH,TARGET HOSPITALITY,Consumer Discretionary,0.02434,fcff
SABR,SABRE,Consumer Discretionary,0.02434,fcff
GDOT,GREEN DOT CLASS A,Financials,0.02416,book
CEVA,CEVA,Information Technology,0.02411,fcff
DRVN,DRIVEN BRANDS HOLDINGS,Consumer Discretionary,0.02411,fcff
WOLF,WOLFSPEED INC,Information Technology,0.02395,fcff
STAA,STAAR SURGICAL,Health Care,0.02393,fcff
PAX,PATRIA INVESTMENTS LTD CLASS A,Financials,0.02387,book
FLOC,FLOWCO HOLDINGS CLASS A,Energy,0.02387,fcff
PGC,PEAPACK GLADSTONE FINANCIAL CORP,Financials,0.02383,book
LZ,LEGALZOOM COM,Industrials,0.02382,fcff
SG,SWEETGREEN INC CLASS A,Consumer Discretionary,0.0236,fcff
ROOT,ROOT INC CLASS A,Financials,0.0236,book
TK,TEEKAY CORPORATION CORP LTD,Energy,0.02358,fcff
MMI,MARCUS &amp; MILLICHAP INC,Real Estate,0.02357,none
CCBG,CAPITAL CITY BANK INC,Financials,0.02354,book
PRAA,PRA GROUP INC,Financials,0.02351,book
KLRA,KAILERA THERAPEUTICS INC,Health Care,0.02338,fcff
MLR,MILLER INDUSTRIES INC,Industrials,0.02332,fcff
RUSHB,RUSH ENTERPRISES CLASS B,Industrials,0.02329,fcff
CARE,CARTER BANKSHARES INC,Financials,0.02328,book
JBGS,JBG SMITH PROPERTIES,Real Estate,0.02326,none
SMBC,SOUTHERN MISSOURI BANCORP INC,Financials,0.02319,book
CTO,CTO REALTY GROWTH INC,Real Estate,0.02316,none
SANA,SANA BIOTECHNOLOGY,Health Care,0.02314,fcff
EVER,EVERQUOTE CLASS A,Communication,0.02312,fcff
IRMD,IRADIMED,Health Care,0.02312,fcff
AVO,MISSION PRODUCE INC,Consumer Staples,0.02309,fcff
IBCP,INDEPENDENT BANK CORP,Financials,0.02307,book
AMRC,AMERESCO INC CLASS A,Industrials,0.02306,fcff
MTUS,METALLUS INC,Materials,0.02299,fcff
HSTM,HEALTHSTREAM,Health Care,0.02292,fcff
AMBP,ARDAGH METAL PACKAGING SA,Materials,0.02291,fcff
AVR,ANTERIS TECHNOLOGIES GLOBAL CORP,Health Care,0.02289,fcff
PFBC,PREFERRED BANK,Financials,0.02287,book
CMRE,COSTAMARE,Industrials,0.02287,fcff
AMPH,AMPHASTAR PHARMACEUTICALS,Health Care,0.02285,fcff
ACRS,ACLARIS THERAPEUTICS,Health Care,0.02278,fcff
BHB,BAR HARBOR BANKSHARES,Financials,0.02274,book
HPP,HUDSON PACIFIC PROPERTIES REIT,Real Estate,0.02273,none
HTB,HOMETRUST BANCSHARES INC,Financials,0.02245,book
IVR,INVESCO MORTGAGE CAPITAL REIT INC,Financials,0.0224,book
MTW,MANITOWOC INC,Industrials,0.0223,fcff
CLVT,CLARIVATE PLC,Industrials,0.02226,fcff
PFIS,PEOPLES FINANCIAL SERVICES CORP,Financials,0.02226,book
WVE,WAVE LIFE SCIENCES INC,Health Care,0.02221,fcff
PTRN,PATTERN GROUP SERIES A,Consumer Discretionary,0.02219,fcff
