BOOTSTRAP Russell 2000 constituent snapshot - NOT a current iShares download
Provenance,"github.com/quanthero/US_Indices_Constituents Russell2000.csv (third party)"
Vintage,"ESTIMATED mid-2022 to early-2023; bounded by index membership evidence"
Vintage evidence,"contains SMR/IONQ/RKLB and ZGNX/MNTV/ZUO/ZEV; lacks CAVA/ARM/BIRK/RDDT/HOOD/TOST"
Fund Holdings as of,"Jan 01, 2023"
Replace me,"Download the real IWM holdings CSV from ishares.com in a browser and overwrite this file. See README section 'Refreshing the universe'."

Ticker,Name,Sector,Asset Class,Market Currency,Exchange
EHTH,,,Equity,USD,
EIG,,,Equity,USD,
EIGR,,,Equity,USD,
ELF,,,Equity,USD,
ELY,,,Equity,USD,
EMBC,,,Equity,USD,
EME,,,Equity,USD,
ENDP,,,Equity,USD,
ENFN,,,Equity,USD,
ENOB,,,Equity,USD,
ENR,,,Equity,USD,
ENS,,,Equity,USD,
ENSG,,,Equity,USD,
ENTA,,,Equity,USD,
ENV,,,Equity,USD,
ENVA,,,Equity,USD,
ENVX,,,Equity,USD,
EOLS,,,Equity,USD,
EP,,,Equity,USD,
EPAC,,,Equity,USD,
EPC,,,Equity,USD,
EPRT,,,Equity,USD,
EQBK,,,Equity,USD,
EQC,,,Equity,USD,
EQRX,,,Equity,USD,
ERAS,,,Equity,USD,
ERII,,,Equity,USD,
ESE,,,Equity,USD,
ESGR,,,Equity,USD,
ESMT,,,Equity,USD,
ESNT,,,Equity,USD,
ESPR,,,Equity,USD,
ESQ,,,Equity,USD,
ESRT,,,Equity,USD,
ESTE,,,Equity,USD,
ETD,,,Equity,USD,
ETRN,,,Equity,USD,
ETWO,,,Equity,USD,
EVBG,,,Equity,USD,
EVC,,,Equity,USD,
EVCM,,,Equity,USD,
EVER,,,Equity,USD,
EVGO,,,Equity,USD,
EVH,,,Equity,USD,
EVLV,,,Equity,USD,
EVOP,,,Equity,USD,
EVRI,,,Equity,USD,
EVTC,,,Equity,USD,
EWCZ,,,Equity,USD,
EWTX,,,Equity,USD,
EXLS,,,Equity,USD,
EXPI,,,Equity,USD,
EXPO,,,Equity,USD,
EXPR,,,Equity,USD,
EXTR,,,Equity,USD,
EYE,,,Equity,USD,
EYPT,,,Equity,USD,
EZPW,,,Equity,USD,
FA,,,Equity,USD,
FARO,,,Equity,USD,
FATE,,,Equity,USD,
FBC,,,Equity,USD,
FBIZ,,,Equity,USD,
FBK,,,Equity,USD,
FBMS,,,Equity,USD,
FBNC,,,Equity,USD,
FBP,,,Equity,USD,
FBRT,,,Equity,USD,
FC,,,Equity,USD,
FCBC,,,Equity,USD,
FCEL,,,Equity,USD,
FCF,,,Equity,USD,
FCFS,,,Equity,USD,
FCPT,,,Equity,USD,
FCUV,,,Equity,USD,
FDMT,,,Equity,USD,
FDP,,,Equity,USD,
FEAM,,,Equity,USD,
FELE,,,Equity,USD,
FF,,,Equity,USD,
FFBC,,,Equity,USD,
FFIC,,,Equity,USD,
FFIE,,,Equity,USD,
FFIN,,,Equity,USD,
FFWM,,,Equity,USD,
FGBI,,,Equity,USD,
FGEN,,,Equity,USD,
FHI,,,Equity,USD,
FHTX,,,Equity,USD,
FIBK,,,Equity,USD,
FIGS,,,Equity,USD,
FISI,,,Equity,USD,
FIX,,,Equity,USD,
FIZZ,,,Equity,USD,
FL,,,Equity,USD,
FLGT,,,Equity,USD,
FLIC,,,Equity,USD,
FLL,,,Equity,USD,
FLNC,,,Equity,USD,
FLNG.OL,,,Equity,USD,
FLR,,,Equity,USD,
FLWS,,,Equity,USD,
FLYW,,,Equity,USD,
FMAO,,,Equity,USD,
FMBH,,,Equity,USD,
FMNB,,,Equity,USD,
FMTX,,,Equity,USD,
FN,,,Equity,USD,
FNA,,,Equity,USD,
FNKO,,,Equity,USD,
FNLC,,,Equity,USD,
FOA,,,Equity,USD,
FOCS,,,Equity,USD,
FOLD,,,Equity,USD,
FOR,,,Equity,USD,
FORG,,,Equity,USD,
FORM,,,Equity,USD,
FORR,,,Equity,USD,
FOSL,,,Equity,USD,
FOXF,,,Equity,USD,
FPI,,,Equity,USD,
FRBA,,,Equity,USD,
FRBK,,,Equity,USD,
FREE,,,Equity,USD,
FRG,,,Equity,USD,
FRME,,,Equity,USD,
FRO.OL,,,Equity,USD,
FRPH,,,Equity,USD,
FRST,,,Equity,USD,
FSBC,,,Equity,USD,
FSLY,,,Equity,USD,
FSP,,,Equity,USD,
FSR,,,Equity,USD,
FSS,,,Equity,USD,
FTCI,,,Equity,USD,
FTDR,,,Equity,USD,
FUBO,,,Equity,USD,
FUL,,,Equity,USD,
FULC,,,Equity,USD,
FULT,,,Equity,USD,
FVCB,,,Equity,USD,
FWRD,,,Equity,USD,
FWRG,,,Equity,USD,
FXLV,,,Equity,USD,
GABC,,,Equity,USD,
GAMB,,,Equity,USD,
GATX,,,Equity,USD,
GBCI,,,Equity,USD,
GBIO,,,Equity,USD,
GBL,,,Equity,USD,
GBT,,,Equity,USD,
GBX,,,Equity,USD,
GCBC,,,Equity,USD,
GCI,,,Equity,USD,
GCMG,,,Equity,USD,
GCO,,,Equity,USD,
GCP,,,Equity,USD,
GDEN,,,Equity,USD,
GDOT,,,Equity,USD,
GDYN,,,Equity,USD,
GEF,,,Equity,USD,
GEF.B,,,Equity,USD,
GEO,,,Equity,USD,
GERN,,,Equity,USD,
GES,,,Equity,USD,
GEVO,,,Equity,USD,
GFF,,,Equity,USD,
GHC,,,Equity,USD,
GIC,,,Equity,USD,
GIII,,,Equity,USD,
GKOS,,,Equity,USD,
GLDD,,,Equity,USD,
GLNG,,,Equity,USD,
GLRE,,,Equity,USD,
GLT,,,Equity,USD,
GLUE,,,Equity,USD,
GMRE,,,Equity,USD,
GMS,,,Equity,USD,
GNK,,,Equity,USD,
GNL,,,Equity,USD,
GNTY,,,Equity,USD,
GNW,,,Equity,USD,
GOEV,,,Equity,USD,
GOGL,,,Equity,USD,
GOGO,,,Equity,USD,
GOLF,,,Equity,USD,
GOOD,,,Equity,USD,
GOSS,,,Equity,USD,
GPI,,,Equity,USD,
GPMT,,,Equity,USD,
GPOR,,,Equity,USD,
GPRE,,,Equity,USD,
GPRO,,,Equity,USD,
GRBK,,,Equity,USD,
GRC,,,Equity,USD,
GREE,,,Equity,USD,
GRNA,,,Equity,USD,
GRPN,,,Equity,USD,
GRWG,,,Equity,USD,
GSAT,,,Equity,USD,
GSBC,,,Equity,USD,
GSHD,,,Equity,USD,
GT,,,Equity,USD,
GTLS,,,Equity,USD,
GTN,,,Equity,USD,
GTXI,,,Equity,USD,
GTY,,,Equity,USD,
GVA,,,Equity,USD,
GWH,,,Equity,USD,
GWRS,,,Equity,USD,
HA,,,Equity,USD,
HAE,,,Equity,USD,
HAFC,,,Equity,USD,
HAIN,,,Equity,USD,
HALO,,,Equity,USD,
HASI,,,Equity,USD,
HAYN,,,Equity,USD,
HBCP,,,Equity,USD,
HBNC,,,Equity,USD,
HBT,,,Equity,USD,
HCAT,,,Equity,USD,
HCC,,,Equity,USD,
HCCI,,,Equity,USD,
HCI,,,Equity,USD,
HCKT,,,Equity,USD,
HCSG,,,Equity,USD,
HDSN,,,Equity,USD,
HEAR,,,Equity,USD,
HEES,,,Equity,USD,
HELE,,,Equity,USD,
HFFG,,,Equity,USD,
HFWA,,,Equity,USD,
HGV,,,Equity,USD,
HI,,,Equity,USD,
HIBB,,,Equity,USD,
HIFS,,,Equity,USD,
HIMS,,,Equity,USD,
HIPO,,,Equity,USD,
HL,,,Equity,USD,
HLF,,,Equity,USD,
HLGN,,,Equity,USD,
HLI,,,Equity,USD,
HLIO,,,Equity,USD,
HLIT,,,Equity,USD,
HLLY,,,Equity,USD,
HLMN,,,Equity,USD,
HLNE,,,Equity,USD,
HLTH,,,Equity,USD,
HLVX,,,Equity,USD,
HLX,,,Equity,USD,
HMN,,,Equity,USD,
HMPT,,,Equity,USD,
HMST,,,Equity,USD,
HNGR,,,Equity,USD,
HNI,,,Equity,USD,
HNST,,,Equity,USD,
HOMB,,,Equity,USD,
HONE,,,Equity,USD,
HOPE,,,Equity,USD,
HOUS,,,Equity,USD,
HOV,,,Equity,USD,
HP,,,Equity,USD,
HPK,,,Equity,USD,
HQY,,,Equity,USD,
HRI,,,Equity,USD,
HRMY,,,Equity,USD,
HRT,,,Equity,USD,
HRTX,,,Equity,USD,
HSC,,,Equity,USD,
HSII,,,Equity,USD,
HSKA,,,Equity,USD,
HSTM,,,Equity,USD,
HT,,,Equity,USD,
HTBI,,,Equity,USD,
HTBK,,,Equity,USD,
HTH,,,Equity,USD,
HTLD,,,Equity,USD,
HTLF,,,Equity,USD,
